tick,timestamp,app_count,elta_total_supply,fees_collected_total,gas_total
0,1700008601,3,77000000000000000000000000,0,0
1,1700010401,3,77000000000000000000000000,0,717509
2,1700012201,3,77000000000000000000000000,2599934098548552826,1445479
3,1700014001,3,77000000000000000000000000,11473882064875247368,1919703
4,1700015801,3,77000000000000000000000000,20068964379523457103,2359727
5,1700017601,3,77000000000000000000000000,26214110915245812036,2918322
6,1700019401,3,77000000000000000000000000,37319426342837157965,3239775
7,1700021201,3,77000000000000000000000000,45319426342837157965,3561240
8,1700023001,3,77000000000000000000000000,51323450742205967641,4085611
9,1700024801,3,77000000000000000000000000,59430284922152017340,4389964
9,1700026601,3,77000000000000000000000000,59430284922152017340,4389964
